Population,Garden,Growth,Offset,Offset_sigma,rawClimDist,rawClimDist_sigma
LOL,VT,27.7735856186741,0.297333896160126,1.59084028119994,12.7384741482618,2.79546618869259
MAC,MD,28.515353290432,0.321595937013626,1.73821547508561,12.3592165541395,2.70894209625542
MAC,NC,21.6625109228149,0.399668753147125,2.7444051972578,19.8735755578025,4.46007878340959
MAC,VT,25.6974391719836,0.297485560178757,1.59164983779121,13.1666823568008,2.89180575779803
MMF,MD,26.5244686505126,0.321306079626083,1.73575663711561,12.6172898990583,2.76788595818262
MMF,NC,22.8966033441442,0.399236589670181,2.73843022283926,19.4982214431024,4.33520558234747
MMF,VT,27.2062801685845,0.296969681978226,1.58891152879916,13.4323433363545,2.95003530915775
MPG,MD,26.6795963272067,0.319925874471664,1.72429871476568,11.1561351464565,2.4525543304852
MPG,NC,21.4008602405097,0.397800624370575,2.71840594716683,18.6994865370662,4.11053035843205
MPG,VT,26.3601094722517,0.295443505048752,1.58040819115089,11.6134718259746,2.5431142489151
MRC,MD,28.1759499039268,0.0688077509403229,0.944361321701546,8.7597548045976,2.01548091701128
MRC,NC,23.3120726571852,0.101567164063454,1.10433022444392,15.5195188795977,3.34332055493205
MRC,VT,28.6333328906791,0.175025805830956,1.26952274024308,11.3337819593588,2.48755238170434
MSK,MD,27.259649728805,0.322246789932251,1.74375146006291,12.9752149026549,2.84939840470734
MSK,NC,22.9101487706536,0.400397390127182,2.75461522721252,20.1878231363308,4.55599984788163
MSK,VT,26.8751389933322,0.297834545373917,1.59348974351809,13.8775704129252,3.04021204245562
MT,MD,31.6457317597914,0.0713158249855042,0.964115917322104,8.98912068940854,2.05377569892492
MT,NC,23.9322959823477,0.0978036224842072,1.09259591550618,14.7691078414957,3.20975846654438
MT,VT,29.1151361335919,0.179786637425423,1.27472158629771,12.0534447355482,2.63792073905652
NBTIC,MD,31.6184595901925,0.304921865463257,1.6277443101725,9.13823485655779,2.0784996330986
NBTIC,NC,27.8857473794857,0.37626439332962,2.4313216166055,17.3801080406298,3.78082712437203
NBTIC,VT,27.7264356192222,0.293971061706543,1.57096837716763,10.4358872359288,2.31368377199104
NOR,MD,26.2745008646812,0.307941079139709,1.64433550454545,8.49501597890231,1.96969261206061
NOR,NC,23.6492141268435,0.382982403039932,2.51591030853634,16.7064577958812,3.61115673828779
NOR,VT,26.5301717137888,0.289760679006577,1.53840657956673,9.77934361414655,2.18894618743509
OCT,MD,29.2339240485438,0.302748560905457,1.61701846128571,7.85140536366582,1.84598663161515
OCT,NC,24.9105439322792,0.376776665449142,2.43760258543725,15.8330490698026,3.4000134273219
