cellindex,x,y,CMD,DD_0,DD18,eFFP,EXT,MAR,MSP,PAS,PET,RH,TD
136937,-65.29166667,48.66116468,0,1424,25,259,311,129,500,536,471.3829346,69,282
136938,-65.25,48.66116468,0,1431,24,259,311,125,501,542,471.8574219,69,281
136940,-65.16666667,48.66116468,2,1374,27,260,313,124,492,524,479.9138184,69,280
136942,-65.08333334,48.66116468,0,1406,25,259,312,124,498,546,474.778717,69,280
136945,-64.95833334,48.66116468,3,1364,28,260,314,122,488,533,480.6345825,69,279
136946,-64.91666667,48.66116468,2,1387,26,260,312,128,491,546,477.4653015,69,280
136957,-64.45833334,48.66116468,3,1352,25,260,312,122,476,546,477.0198364,70,276
137719,-70.08333334,48.61949801,4,1926,25,254,322,125,549,504,477.7233276,63,326
137765,-68.16666667,48.61949801,92,1241,38,262,324,118,392,354,538.9760742,66,281
137779,-67.58333334,48.61949801,52,1456,31,257,325,122,448,424,533.5714111,63,293
137781,-67.5,48.61949801,41,1501,29,256,324,124,461,441,525.40448,63,295
137804,-66.54166667,48.61949801,1,1536,25,257,313,123,506,498,478.8689575,67,292
137805,-66.5,48.61949801,3,1477,28,258,315,120,497,474,482.532959,68,291
137806,-66.45833334,48.61949801,5,1457,29,259,316,115,495,464,486.3970947,68,291
137807,-66.41666667,48.61949801,13,1349,36,262,318,113,477,415,499.2763367,68,288
137808,-66.375,48.61949801,15,1336,37,262,319,130,474,410,501.0456848,68,288
137809,-66.33333334,48.61949801,13,1364,35,261,318,128,479,424,495.0987854,69,288
137810,-66.29166667,48.61949801,3,1433,30,260,316,124,493,459,483.9669495,69,289
137812,-66.20833334,48.61949801,1,1489,25,259,313,125,503,491,472.4164124,69,290
137813,-66.16666667,48.61949801,11,1347,37,262,319,115,480,423,494.6768494,69,288
137814,-66.125,48.61949801,11,1345,37,262,319,132,479,425,494.1901855,69,288
137815,-66.08333334,48.61949801,7,1378,33,261,317,126,485,443,488.5247498,69,287
137818,-65.95833334,48.61949801,0,1485,25,259,312,128,507,506,469.3872986,69,288
137822,-65.79166667,48.61949801,0,1458,26,259,312,125,504,506,470.9039612,69,287
137829,-65.5,48.61949801,2,1378,29,260,314,124,493,495,482.925415,69,283
137830,-65.45833334,48.61949801,0,1436,26,259,312,126,504,529,472.4089355,69,283
137831,-65.41666667,48.61949801,0,1458,24,259,310,126,507,544,468.7800903,69,284
137833,-65.33333334,48.61949801,0,1434,25,259,312,125,502,538,471.9343872,69,283
137834,-65.29166667,48.61949801,1,1406,26,260,312,121,499,530,475.0949707,69,282
137836,-65.20833334,48.61949801,1,1402,26,260,313,122,499,536,477.5439148,69,281
137839,-65.08333334,48.61949801,2,1370,28,260,313,120,494,531,480.714447,69,280
137840,-65.04166667,48.61949801,2,1370,28,260,314,128,494,535,480.9547424,69,280
137841,-65,48.61949801,2,1387,26,260,314,118,496,547,477.7833252,69,280
137842,-64.95833334,48.61949801,3,1368,28,260,314,123,492,539,481.4349976,69,280
137845,-64.83333334,48.61949801,1,1405,25,259,311,125,496,566,475.0949707,69,279
137853,-64.5,48.61949801,12,1254,33,262,318,129,460,500,498.6401062,69,276
138598,-70.83333334,48.57783134,5,1912,30,255,328,120,562,463,493.3166199,62,331
138628,-69.58333334,48.57783134,29,1677,34,258,326,117,490,440,503.4478149,64,315
138664,-68.08333334,48.57783134,83,1295,34,260,323,119,403,373,535.4353638,65,283
138665,-68.04166667,48.57783134,68,1368,30,259,322,118,417,400,527.6045532,65,286
138697,-66.70833334,48.57783134,3,1558,25,256,314,125,506,501,485.3878174,66,295
138702,-66.5,48.57783134,5,1458,30,259,316,127,495,465,490.4327087,67,291
138703,-66.45833334,48.57783134,7,1438,31,259,318,116,492,455,491.0987244,68,291
138704,-66.41666667,48.57783134,8,1417,32,260,317,120,489,448,492.678772,68,290
138705,-66.375,48.57783134,11,1379,35,261,319,119,483,431,495.5664368,68,289
138707,-66.29166667,48.57783134,3,1448,29,259,316,117,496,467,484.1523132,68,290
138709,-66.20833334,48.57783134,0,1547,24,257,312,120,514,517,469.8459778,68,292
138710,-66.16666667,48.57783134,2,1460,29,259,315,117,501,480,479.3219604,68,290
138712,-66.08333334,48.57783134,0,1573,21,257,310,128,520,537,462.3753052,69,291
138715,-65.95833334,48.57783134,0,1496,25,258,312,122,508,512,470.6343689,69,289
138718,-65.83333334,48.57783134,0,1453,27,259,314,126,504,502,474.617981,69,288
138719,-65.79166667,48.57783134,0,1479,25,259,312,126,509,518,471.688324,69,287
138722,-65.66666667,48.57783134,0,1451,26,259,312,122,505,517,474.1450195,69,286
138723,-65.625,48.57783134,3,1391,30,260,314,122,495,492,481.7553711,69,285
138727,-65.45833334,48.57783134,4,1357,31,261,316,124,491,492,486.6712341,69,283
138728,-65.41666667,48.57783134,0,1449,25,259,312,122,507,542,472.7232971,69,284
138731,-65.29166667,48.57783134,3,1356,30,261,315,122,493,508,486.6712341,69,282
138732,-65.25,48.57783134,3,1352,30,261,315,127,493,511,487.1562195,69,282
138734,-65.16666667,48.57783134,1,1368,29,260,314,122,497,528,483.7302856,69,281
138736,-65.08333334,48.57783134,1,1383,28,260,314,125,498,540,481.9954529,69,282
138738,-65,48.57783134,1,1385,27,260,313,123,499,548,479.2974243,69,280
138740,-64.91666667,48.57783134,8,1293,33,262,317,123,481,510,496.50177,69,278
138741,-64.875,48.57783134,8,1290,33,262,317,125,481,510,496.9916382,69,279
139353,-76.75000001,48.53616468,40,1893,43,259,341,122,521,348,528.2854614,59,342
139454,-72.54166667,48.53616468,71,1687,79,262,353,127,462,317,554.2150879,61,341
139565,-67.91666667,48.53616468,59,1422,29,257,323,121,434,419,526.8574219,64,289
139570,-67.70833334,48.53616468,58,1431,31,257,325,120,442,418,534.2813721,63,292
139588,-66.95833334,48.53616468,13,1552,27,256,320,124,500,486,504.9410095,64,297
139594,-66.70833334,48.53616468,1,1609,23,255,314,126,516,523,482.7600708,66,295
139596,-66.625,48.53616468,5,1527,27,257,316,125,504,491,490.1774292,67,293
139599,-66.5,48.53616468,2,1515,27,258,315,122,507,491,484.533905,67,293
139600,-66.45833334,48.53616468,2,1538,26,258,314,120,509,501,480.6399841,67,293
139601,-66.41666667,48.53616468,9,1413,34,260,320,125,490,447,497.6427307,68,291
139602,-66.375,48.53616468,12,1382,36,261,320,122,484,434,498.2742615,68,290
139604,-66.29166667,48.53616468,10,1381,36,261,320,125,486,435,495.6573792,68,290
139607,-66.16666667,48.53616468,3,1449,30,259,317,125,499,475,484.0053711,68,290
139608,-66.125,48.53616468,10,1353,38,262,321,113,484,431,498.2488098,69,289
139613,-65.91666667,48.53616468,3,1427,29,260,315,122,499,482,482.7141724,69,288
139615,-65.83333334,48.53616468,3,1413,30,260,316,127,499,484,484.4728088,69,286
139618,-65.70833334,48.53616468,8,1339,35,262,318,121,487,458,493.8717346,69,285
139619,-65.66666667,48.53616468,3,1389,31,261,315,126,496,488,485.5003662,69,285
139624,-65.45833334,48.53616468,4,1351,32,261,317,116,493,490,487.9648438,69,283
139625,-65.41666667,48.53616468,5,1339,33,261,317,121,492,491,490.4292908,69,282
139626,-65.375,48.53616468,8,1315,34,262,318,119,488,483,493.3830261,69,281
139627,-65.33333334,48.53616468,5,1339,32,261,317,121,493,500,489.9420471,69,282
139628,-65.29166667,48.53616468,2,1363,31,261,315,127,498,516,484.7766418,69,282
139630,-65.20833334,48.53616468,1,1389,28,260,314,128,502,536,482.3158569,69,282
139633,-65.08333334,48.53616468,2,1369,28,260,314,119,499,539,482.3158569,69,281
139634,-65.04166667,48.53616468,0,1387,27,260,313,126,503,552,479.1375732,69,281
139640,-64.79166667,48.53616468,4,1323,31,261,315,123,487,536,490.18573,69,279
140457,-68.125,48.49449801,79,1303,33,260,323,122,407,375,533.5059204,65,282
140465,-67.79166667,48.49449801,41,1529,26,255,322,120,458,457,520.5271606,63,295
